0 0 
64032.71484375 64032.8674316406 64032.7452603061
128070.068359375 128070.343017578 128070.098666117
192095.092773438 192095.520019531 192095.153511409
256126.037597656 256126.586914062 256126.098238041
320151.397705078 320152.069091797 320151.458258531
384143.493652344 384144.287109375 384143.554182332
448135.589599609 448136.535644531 448135.680623652
512118.865966797 512119.964599609 512118.987501722
576110.473632813 576111.694335938 576110.595145204
640104.949951172 640106.262207031 640105.040918037
704086.42578125 704087.921142578 704086.577779952
768060.333251953 768061.950683594 768060.485261893
832035.430908203 832037.139892578 832035.55240959
896012.329101563 896014.221191406 896012.511643521
959988.372802734 959990.386962891 959988.555351854
1023973.57177734 1023975.70800781 1023973.75431616
1087946.19750977 1087948.45581055 1087946.38006226
1151940.4296875 1151942.84057617 1151940.64272998
1215933.92944336 1215936.49291992 1215934.17297721
1279900.75683594 1279903.44238281 1279901.00039454
1343880.06591797 1343882.90405273 1343880.33999502
1407858.64257813 1407861.6027832 1407858.9166575
1471849.3347168 1471852.41699219 1471849.60877539
1535830.29174805 1535833.52661133 1535830.59632195
1599809.38720703 1599812.7746582 1599809.72229979
1663786.89575195 1663790.40527344 1663787.23084908
1727774.23095703 1727777.89306641 1727774.5965573
1791748.65722656 1791752.44140625 1791749.02283707
1855753.50952148 1855757.44628906 1855753.90560171
1919750.54931641 1919754.6081543 1919750.94536374
1983766.44897461 1983770.66040039 1983766.87547058
2047776.94702148 2047781.31103516 2047777.4039764
2111784.63745117 2111789.12353516 2111785.09435287
2175795.98999023 2175800.59814453 2175796.44683172
2239795.37963867 2239800.14038086 2239795.8669603
2303781.89086914 2303786.77368164 2303782.37817796
2367775.02441406 2367780.02929687 2367775.51169744
2431764.3737793 2431769.53125 2431764.89156197
2495745.45288086 2495750.73242187 2495745.97066108
2559773.95629883 2559779.38842773 2559774.50450364
2623842.80395508 2623848.3581543 2623843.35198999
2687907.37915039 2687913.02490234 2687907.89650603
2751974.21264648 2751980.04150391 2751974.7908711
2816047.72949219 2816053.64990234 2816048.27702048
2880102.17285156 2880108.24584961 2880102.75075495
2944178.19213867 2944184.38720703 2944178.76985847
3008244.93408203 3008251.2512207 3008245.51163595
3072296.35620117 3072302.79541016 3072296.93361843
3136344.17724609 3136350.76904297 3136344.78505109
3200377.16674805 3200383.88061523 3200377.77445155
3264363.0065918 3264369.8425293 3264363.61428377
3328372.25341797 3328379.24194336 3328372.89157128
3392364.44091797 3392371.52099609 3392365.04853012
3456356.75048828 3456363.95263672 3456357.35807656
3520342.55981445 3520349.91455078 3520343.19790878
3584353.14941406 3584360.6262207 3584353.78744964
3648347.53417969 3648355.13305664 3648348.17218743
3712346.34399414 3712354.06494141 3712346.98196561
3776360.68725586 3776368.56079102 3776361.35567894
3840368.1640625 3840376.15966797 3840368.83243277
3904359.49707031 3904367.61474609 3904360.16541857
3968351.74560547 3968359.98535156 3968352.41392997
4032332.21435547 4032340.60668945 4032332.91319621
4096316.74194336 4096325.25634766 4096317.44077507
4160331.63452148 4160340.27099609 4160332.33328624
4224335.17456055 4224343.96362305 4224335.90379752
4288330.96313477 4288339.87426758 4288331.69234123
4352329.52880859 4352338.56201172 4352330.25797925
4416318.93920899 4416328.125 4416319.69887882
4480310.72998047 4480320.0378418 4480311.48962742
