#interval average variance
0.100 -2.05795884384 32130.6812578 
0.200 -2.00411806313 7905.06234239
0.300 -1.9972431997 3442.09533094
0.400 -1.95467158005 1908.54623043
0.500 -1.91275541738 1272.75025554
0.600 -1.97124579327 893.991151247
0.700 -1.93863887368 657.856845258
1s -1.95670537083 298.73057571
2s -1.94662344186 81.4829227682
3s -1.94598288855 37.7420573832
4s -1.95605574632 21.2587401423
5s -1.95292530678 11.8359127771
6s -1.94833055935 9.98811157614
10s -1.93220757551 3.06117104842
15s -1.93523364589 1.48104170099
20s -1.92534294608 0.875358890577
25s -1.92431419586 0.476283825263
30s -1.90279529158 0.379594419718
35s -1.89966498138 0.250652993216
40s -1.89256113943 0.308614880682
45s -1.90465254329 0.182442786991
50s -1.9012265576 0.192650260086
55s -1.89402992037 0.0632461740544
60s -1.88512098242 0.122505915864
80s -1.86931712783 0.0714689146548
100s -1.84893276887 0.0754702228778
120s -1.80370759178 0.0525893544274
